,"a, град","n, об/мин","Fx, Н","Mx, Н*м","Wв, Вт","P, Н/Вт"
0,-0.0,0.0,0.0,0.0,0.0,
1,-0.0,1000.0,0.0018373346249999957,0.005107406591666665,0.5348463675758693,0.003435256807160357
2,-0.0,2000.0,0.082571805,0.016258499,3.4051720677864665,0.024248937603225388
3,-0.0,3000.0,0.24610159787500002,0.03317226240833334,10.421373588497287,0.023615082578618767
4,-0.0,4000.0,0.49632489999999996,0.05556768199999999,23.2761362064285,0.021323337155198588
5,-0.0,5000.0,0.8371545257500002,0.0832085354,43.56788725476771,0.019214944274314995
6,-0.0,6000.0,1.2725618,0.11603777000000001,72.90868115418841,0.017454187620110237
7,-0.0,7000.0,1.8050197497500002,0.15402991911666666,112.90982787698834,0.015986382972051925
8,-0.0,8000.0,2.4309497,0.19710668999999997,165.1277144739735,0.014721633541310552
9,-0.0,9000.0,3.14526005025,0.2451765833833333,231.07348595679758,0.013611514264505667
10,-0.0,10000.0,3.9428592,0.2981481,312.21996021391834,0.012628466153472505
11,1.0,0.0,0.0,0.0,0.0,
12,1.0,1000.0,0.021231280863825027,0.005252368171899749,0.5500267087596368,0.038600454351941586
13,1.0,2000.0,0.1757866177759875,0.01707608691965709,3.5764072812570316,0.04915173355597303
14,1.0,3000.0,0.4647380911581986,0.03512098036494316,11.03358139013768,0.042120330174353245
15,1.0,4000.0,0.8891577814321693,0.059036872629429055,24.72930737913742,0.03595562818642856
16,1.0,5000.0,1.4513301766685165,0.08854812531626116,46.363689997119074,0.031303163677410026
17,1.0,6000.0,2.1583893955334803,0.12367724995448695,77.70870797464094,0.027775386462966775
18,1.0,7000.0,3.016583936339836,0.16447497159607502,120.56645124197782,0.025020093942099437
19,1.0,8000.0,4.023770185390866,0.21080671945877702,176.60502431441557,0.022784007425673346
20,1.0,9000.0,5.175706500987479,0.2624915988017908,247.3925035274236,0.02092103207328491
21,1.0,10000.0,6.4681512414305855,0.31934871488431377,334.4211922046339,0.019341331806127567
22,2.0,0.0,0.0,0.0,0.0,
23,2.0,1000.0,0.04134062889024583,0.005589726614699877,0.5853548022772159,0.07062490771309583
24,2.0,2000.0,0.2709759468879938,0.01829648839982855,3.832007569559482,0.07071383392886788
25,2.0,3000.0,0.6896504166207661,0.03781353892872158,11.879473610470336,0.0580539541762963
26,2.0,4000.0,1.298108500716085,0.06383413177471454,26.7387785908968,0.04854778599191607
27,2.0,5000.0,2.0987017042092586,0.09611556329438059,50.325991256878474,0.04170214340134654
28,2.0,6000.0,3.100209701766741,0.1346713009772435,84.61647395989762,0.03663837024497177
29,2.0,7000.0,4.310722306128252,0.17954005637178755,131.60973516196452,0.03275382554963198
30,2.0,8000.0,5.729141712695434,0.23060534612938857,193.19148300763163,0.02965524992874099
31,2.0,9000.0,7.352073212535406,0.28771188817714544,271.16206627433047,0.027113206922893953
32,2.0,10000.0,9.176122096715295,0.3507044004421569,367.25678933689767,0.024985575115665765
33,3.0,0.0,0.0,0.0,0.0,
34,3.0,1000.0,0.06346309846808745,0.006102224716133461,0.6390234779586315,0.09931262411644266
35,3.0,2000.0,0.36959632011200627,0.019941296320171456,4.176495334833855,0.08849436919740009
36,3.0,3000.0,0.921270806520901,0.0413134445904451,12.979001401983131,0.07098164011139833
37,3.0,4000.0,1.7213576992839164,0.0700148993052855,29.327772439908536,0.05869377576530612
38,3.0,5000.0,2.773975152490743,0.10587644147311945,55.43677512003028,0.05003853753189292
39,3.0,6000.0,4.088229370233261,0.14886705702275657,93.53593054084497,0.04370758217290655
40,3.0,7000.0,5.672349576805084,0.19897701188404593,145.85776771257244,0.038889595430961384
41,3.0,8000.0,7.526069027304569,0.2561434870706115,214.58626593224142,0.035072463722729715
42,3.0,9000.0,9.646996984531262,0.3202903923670214,301.8665831026881,0.03195781687849024
43,3.0,10000.0,12.032742711284708,0.3913416375578432,409.8120045318399,0.029361616004954873
44,4.0,0.0,0.0,0.0,0.0,
45,4.0,1000.0,0.08889640936117493,0.006772605272266921,0.7092255656339087,0.12534292849654816
46,4.0,2000.0,0.4731042652240125,0.022032103560342905,4.614392979220186,0.10252795272412303
47,4.0,3000.0,1.1600314931168016,0.045684203840890183,14.352115917163923,0.08082651365221358
48,4.0,4000.0,2.1570860185678318,0.07763461509057096,32.519511524374536,0.06633205474046
49,4.0,5000.0,3.4718565656314846,0.11779635199123886,61.6780256725589,0.05629000811509672
50,4.0,6000.0,5.112655052466521,0.1661116520455131,104.37102914836957,0.048985385065031604
51,4.0,7000.0,7.086380466060167,0.22253767657309176,163.1286369694255,0.04344044428807639
52,4.0,8000.0,9.393556874609136,0.287062059341223,240.48854846686487,0.03906030842006352
53,4.0,9000.0,12.033114616612522,0.35968005222904265,338.99046291766604,0.03549691195747629
54,4.0,10000.0,15.003984030569416,0.44038690711568634,461.1720907105902,0.032534458031601064
55,5.0,0.0,0.0,0.0,0.0,
56,5.0,1000.0,0.11893828133333331,0.00758361107916667,0.7941538951330724,0.14976729581286435
57,5.0,2000.0,0.5829563100000001,0.024590503,5.150222904858518,0.11319050083250999
58,5.0,3000.0,1.4063647086666666,0.05098932317083334,16.018768308500583,0.08779480928757548
59,5.0,4000.0,2.6034741000000006,0.08674871899999999,36.337218442496706,0.07164758920994388
60,5.0,5000.0,4.18705198775,0.1318408869875,69.03172700044868,0.06065402344233378
61,5.0,6000.0,6.163693400000001,0.18625221999999997,117.02572121335795,0.05266956132457865
62,5.0,7000.0,8.537729691583335,0.24997388887916672,183.24043100814768,0.046593045239037394
